Rank,Model,MAE,MAE_%,RMSE,RMSE_%
1,XGBoost Direct,70.15925239050475,1.0171882915400283,91.79396505400145,1.3308543535677924
2,LSTM ,145.16595414514316,2.1046562478288395,178.1091902899072,2.582276418371412
3,XGBoost Recursive,224.81827419385175,3.2594776660586433,285.8935129612214,4.144963409712148
4,Prophet + Temp,289.5838256878823,4.198466586695669,380.9695669933093,5.5234023991839845
5,EWMA (24),351.83318425313314,5.100975044682311,412.2333434369427,5.97667329737977
6,SMA (168),389.9153520057349,5.653100870351063,466.6615556155554,6.7657886067817
7,AR(168),439.7579189370994,6.375732223671267,528.8973371829825,7.668100221689916
8,"Manual SDIFF(24)+Temp+ARMA(1,0,1)",441.0439912874259,6.394378057146574,568.8727737094536,8.247675182916716
9,"Manual SDIFF(24)+ARMA(1,0,1)",442.2734533442921,6.412203138893116,570.4289034740408,8.270236383652504
10,"ARIMA(2,1,2)",468.115781133522,6.786872371498875,592.1159517246216,8.584661221530908
11,CMA,1333.4684039099945,19.332994599859614,1452.1503797963244,21.053678788688696
